Category,Rating
NEWS_AND_MAGAZINES,4.800000000000001
EDUCATION,4.75
ART_AND_DESIGN,4.733333333333333
PARENTING,4.7
ENTERTAINMENT,4.6
SHOPPING,4.5
PERSONALIZATION,4.434375
GAME,4.365333333333331
WEATHER,4.3500000000000005
HEALTH_AND_FITNESS,4.3125
FAMILY,4.282119205298016
SPORTS,4.2749999999999995
BUSINESS,4.26
MEDICAL,4.255128205128205
BOOKS_AND_REFERENCE,4.242857142857143
LIFESTYLE,4.2
PRODUCTIVITY,4.135714285714286
TOOLS,4.103636363636364
FOOD_AND_DRINK,4.1
PHOTOGRAPHY,4.046666666666667
TRAVEL_AND_LOCAL,4.016666666666667
COMMUNICATION,4.011111111111111
FINANCE,3.830769230769231
SOCIAL,3.7
MAPS_AND_NAVIGATION,3.7
VIDEO_PLAYERS,3.1
DATING,3.05
