index,Category,cat,Installs,Install_pct,install_sum
27,GAME,Paid,5929051,0.116932,35086024415
26,GAME,Free,35080095364,0.988306,35086024415
11,COMMUNICATION,Paid,1343430,0.000041,32647276251
10,COMMUNICATION,Free,32645932821,0.999959,32647276251
46,PRODUCTIVITY,Free,14174680439,0.9999,14176091369
47,PRODUCTIVITY,Paid,1410930,0.0001,14176091369
50,SOCIAL,Free,14069867902,1,14069867902
51,SOCIAL,Paid,0,0,14069867902
54,TOOLS,Free,11451069129,0.999851,11452771915
55,TOOLS,Paid,1702786,0.000149,11452771915
21,FAMILY,Paid,28382213,0.276712,10258263505
20,FAMILY,Free,10229881292,0.972328,10258263505
44,PHOTOGRAPHY,Free,10084268915,0.999606,10088247655
45,PHOTOGRAPHY,Paid,3978740,0.000394,10088247655
39,NEWS_AND_MAGAZINES,Paid,500,0,7496317760
38,NEWS_AND_MAGAZINES,Free,7496317260,1,7496317760
56,TRAVEL_AND_LOCAL,Free,6868704086,0.999973,6868887146
57,TRAVEL_AND_LOCAL,Paid,183060,0.000027,6868887146
59,VIDEO_PLAYERS,Paid,70000,0.000011,6222002720
58,VIDEO_PLAYERS,Free,6221932720,0.999989,6222002720
